reportingPeriod,state,legalAgencyName,projectType,projectStartDate,projectEndDate,empgTotalFunding
2014 BSIR (December 15),Alaska,Denali Borough,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,8533.3
2014 BSIR (December 15),Arkansas,Izard County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19872.7
2014 BSIR (December 15),Alaska,Municipality of Anchorage,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,125000
2014 BSIR (December 15),Arkansas,Lawrence County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20921.03
2014 BSIR (December 15),Arkansas,Ashley County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22172.03
2014 BSIR (December 15),Arkansas,Logan County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22312.97
2014 BSIR (December 15),Arkansas,Calhoun County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,17525.35
2014 BSIR (December 15),Arkansas,Mississippi County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,29113.98
2014 BSIR (December 15),Arkansas,Cleburne County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,23332.55
2014 BSIR (December 15),Arkansas,North Little Rock Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,33574.52
2014 BSIR (December 15),Arkansas,Poinsett County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22941.57
2014 BSIR (December 15),Arkansas,Crawford County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,33474.16
2014 BSIR (December 15),Arkansas,Randolph County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21077.19
2014 BSIR (December 15),Arkansas,Drew County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21229.41
2014 BSIR (December 15),Arkansas,Sevier County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20820.4
2014 BSIR (December 15),Arkansas,Grant County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21044.09
2014 BSIR (December 15),Arkansas,Van Buren County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20887.2
2014 BSIR (December 15),Arkansas,Jackson County of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21085.08
2014 BSIR (December 15),Alaska,City and Borough of Juneau,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,110000
2014 BSIR (December 15),Arkansas,Lee County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18950.38
2014 BSIR (December 15),Alaska,City of North Pole,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-10-01T00:00:00+00:00,2016-03-01T00:00:00+00:00,10000
2014 BSIR (December 15),Arkansas,Lonoke County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,35280.48
2014 BSIR (December 15),Alaska,Kenai Peninsula Borough,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,142000
2014 BSIR (December 15),Arkansas,Monroe County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18309.09
2014 BSIR (December 15),Arkansas,Arkansas County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21373.17
2014 BSIR (December 15),Arkansas,Ouachita County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,23374.83
2014 BSIR (December 15),Arkansas,Boone County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,26414.38
2014 BSIR (December 15),Arkansas,Polk County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21836.31
2014 BSIR (December 15),Arkansas,Clark County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22493.94
2014 BSIR (December 15),Arkansas,Saline County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,46206.86
2014 BSIR (December 15),Arkansas,Conway County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22008.54
2014 BSIR (December 15),Arkansas,Dallas County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18299.79
2014 BSIR (December 15),Arkansas,Sharp County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20878.46
2014 BSIR (December 15),Arkansas,Fulton County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19463.69
2014 BSIR (December 15),Arkansas,Washington County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,73252.78
2014 BSIR (December 15),Arkansas,Independence County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,26342.22
2014 BSIR (December 15),California,EM-Agua Caliente Band of Cahuilla Indians,Establish/enhance sustainable homeland security exercise program,2014-09-01T00:00:00+00:00,2015-08-01T00:00:00+00:00,17500
2014 BSIR (December 15),Arkansas,Lafayette County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18167.02
2014 BSIR (December 15),California,OA-Alpine County,Develop/enhance interoperable communications systems,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,37652
2014 BSIR (December 15),Arkansas,Little Rock Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,70563.32
2014 BSIR (December 15),California,OA-Calaveras County,Develop/enhance interoperable communications systems,2015-01-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,36000
2014 BSIR (December 15),Arkansas,Miller County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,28263.26
2014 BSIR (December 15),California,OA-Del Norte County,Administer and manage the Homeland Security Grant Program,2015-07-01T00:00:00+00:00,2016-06-01T00:00:00+00:00,56458
2014 BSIR (December 15),Arkansas,Newton County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18360.11
2014 BSIR (December 15),California,OA-Fresno County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-07-01T00:00:00+00:00,326383
2014 BSIR (December 15),Arkansas,Pike County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19194.77
2014 BSIR (December 15),Arkansas,Pulaski County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,51788.73
2014 BSIR (December 15),Arkansas,Sebastian County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,51457.23
2014 BSIR (December 15),Arkansas,Union County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,27749.38
2014 BSIR (December 15),Arkansas,Yell County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22265.61
2014 BSIR (December 15),California,OA-Alpine County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,21403
2014 BSIR (December 15),Arkansas,Crittenden County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,30360.48
2014 BSIR (December 15),California,OA-Butte County,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,97997
2014 BSIR (December 15),California,OA-Contra Costa County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,145176
2014 BSIR (December 15),California,OA-Del Norte County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,15369
2014 BSIR (December 15),California,OA-Imperial County,"Develop/enhance plans, procedures, and protocols",2014-12-01T00:00:00+00:00,2016-05-01T00:00:00+00:00,163083
2014 BSIR (December 15),Alaska,City of Cordova,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,18000
2014 BSIR (December 15),Alaska,City of Kodiak,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,13375.7
2014 BSIR (December 15),Alaska,Fairbanks North Star Borough,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,142000
2014 BSIR (December 15),Arizona,Arizona Division of Emergency Management/EMPG,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2016-09-01T00:00:00+00:00,6972161
2014 BSIR (December 15),Arkansas,Benton County Office of Emergency Management,Establish/enhance emergency operations center,2015-01-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,78403.77
2014 BSIR (December 15),Arkansas,Chicot County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19338.25
2014 BSIR (December 15),Arkansas,Columbia County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22932.83
2014 BSIR (December 15),Arkansas,Cross County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21049.29
2014 BSIR (December 15),Arkansas,Franklin County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,21121.17
2014 BSIR (December 15),Arkansas,Howard County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19898.92
2014 BSIR (December 15),Arkansas,Faulkner County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,47931.71
2014 BSIR (December 15),Arkansas,Johnson County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,23211.34
2014 BSIR (December 15),Arkansas,Little River County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19724.71
2014 BSIR (December 15),Arkansas,Greene County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,27876.51
2014 BSIR (December 15),Arkansas,Marion County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20706.23
2014 BSIR (December 15),Arkansas,Jefferson County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,37839.7
2014 BSIR (December 15),Arkansas,Nevada County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18548.13
2014 BSIR (December 15),Arkansas,Lincoln County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19996.17
2014 BSIR (December 15),Arkansas,Phillips County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,22144.97
2014 BSIR (December 15),California,EM- Tule River Tribe,Develop/enhance interoperable communications systems,2014-12-01T00:00:00+00:00,2015-03-01T00:00:00+00:00,16345
2014 BSIR (December 15),California,OA-Kings County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,55893
2014 BSIR (December 15),Arkansas,Madison County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,20442.39
2014 BSIR (December 15),Arkansas,Prairie County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18468.64
2014 BSIR (December 15),Arkansas,Montgomery County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18686.25
2014 BSIR (December 15),Arkansas,Searcy County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18322.06
2014 BSIR (December 15),Arkansas,Perry County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18956.3
2014 BSIR (December 15),Arkansas,Stone County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19505.69
2014 BSIR (December 15),Arkansas,Pope County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,33419.48
2014 BSIR (December 15),Arkansas,Woodruff County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,18058.5
2014 BSIR (December 15),Arkansas,Scott County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,19178.42
2014 BSIR (December 15),California,OA-Alpine County,Administer and manage the Homeland Security Grant Program,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,23496
2014 BSIR (December 15),Arkansas,St. Francis County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,23977.5
2014 BSIR (December 15),California,OA-Butte County,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2015-05-01T00:00:00+00:00,918
2014 BSIR (December 15),Arkansas,White County Office of Emergency Management,Establish/enhance emergency operations center,2014-10-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,37738.5
2014 BSIR (December 15),California,OA-Colusa County ,"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,55600
2014 BSIR (December 15),California,OA-Alameda County,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2015-01-01T00:00:00+00:00,2016-05-01T00:00:00+00:00,452545
2014 BSIR (December 15),California,OA-Del Norte County,Enhance capabilities to recover from all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,41288
2014 BSIR (December 15),California,OA-Amador County,"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,97376
2014 BSIR (December 15),California,OA-Humboldt County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,153597
2014 BSIR (December 15),California,OA-Calaveras County,Develop/enhance interoperable communications systems,2014-09-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,98503
2014 BSIR (December 15),California,OA-Kern County,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,10000
2014 BSIR (December 15),California,OA-Del Norte County,Develop/enhance interoperable communications systems,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,11263
2014 BSIR (December 15),California,OA-Kings County,Establish/enhance emergency operations center,2015-01-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,48389
2014 BSIR (December 15),California,OA-Glenn County,Develop / enhance homeland security / emergency management organization and structure,2014-09-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,28054
2014 BSIR (December 15),California,OA-Kern County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,106744
2014 BSIR (December 15),California,OA-Los Angeles OA UA I (15),Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,2231132
2014 BSIR (December 15),California,OA-Kings County,Establish/enhance cyber security program,2015-04-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,4790
2014 BSIR (December 15),California,OA-Merced County ,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,180514
2014 BSIR (December 15),California,OA-Lassen County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,132069
2014 BSIR (December 15),California,OA-Orange County ,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,761443
2014 BSIR (December 15),California,OA-Mendocino County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,143674
2014 BSIR (December 15),California,OA-San Benito County,"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,136985
2014 BSIR (December 15),California,OA-Nevada County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,145519
2014 BSIR (December 15),California,OA-San Bernardino County,Enhance capabilities to respond to all-hazards events,2015-01-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,36539
2014 BSIR (December 15),California,OA-Sacramento County ,"Develop/enhance plans, procedures, and protocols",2014-01-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,430787
2014 BSIR (December 15),California,OA-San Diego County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,375219
2014 BSIR (December 15),California,OA-San Bernardino County,Enhance capabilities to recover from all-hazards events,2014-11-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,20339
2014 BSIR (December 15),California,OA-San Francisco City/County,Enhance integration of metropolitan area public health / medical and emergency management capabilities,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,179036
2014 BSIR (December 15),California,OA-San Bernardino County,"Establish / enhance citizen awareness of emergency preparedness, prevention, and response measures",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,52986
2014 BSIR (December 15),California,OA-San Joaquin County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,17000
2014 BSIR (December 15),California,OA-San Francisco City/County,"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,120475
2014 BSIR (December 15),California,OA-San Mateo County (and SF UA4),Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,71541
2014 BSIR (December 15),California,OA-San Joaquin County,"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,246436
2014 BSIR (December 15),California,OA-Shasta County,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,158474
2014 BSIR (December 15),California,OA-San Mateo County (and SF UA4),"Develop/enhance plans, procedures, and protocols",2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,169275
2014 BSIR (December 15),California,OA-Solano County ,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,147273
2014 BSIR (December 15),California,OA-Shasta County,Administer and manage the Homeland Security Grant Program,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,4300
2014 BSIR (December 15),California,OA-Stanislaus County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,235852
2014 BSIR (December 15),California,OA-Solano County ,Develop/enhance interoperable communications systems,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,56506
2014 BSIR (December 15),California,OA-Tulare County ,Develop / enhance homeland security / emergency management organization and structure,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,227814
2014 BSIR (December 15),California,OA-Sonoma County,Establish/Enhance emergency plans and procedures to reflect the National Response Plan,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,217288
2014 BSIR (December 15),California,OA-Tuolumne County,Administer and manage the Homeland Security Grant Program,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,2000
2014 BSIR (December 15),California,OA-Trinity County,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,3941
2014 BSIR (December 15),California,OA-Ventura County ,Develop/enhance interoperable communications systems,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,14542
2014 BSIR (December 15),California,OA-Tuolumne Band of Me-Wuk Indians,Enhance capabilities to respond to all-hazards events,2014-12-01T00:00:00+00:00,2015-08-01T00:00:00+00:00,25372
2014 BSIR (December 15),California,OA-Ventura County ,Establish / enhance citizen / volunteer initiatives,2014-09-01T00:00:00+00:00,2016-05-01T00:00:00+00:00,3780
2014 BSIR (December 15),California,OA-Ventura County ,Administer and manage the Homeland Security Grant Program,2014-07-01T00:00:00+00:00,2016-05-01T00:00:00+00:00,15084
2014 BSIR (December 15),Colorado,Adams County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,135147
2014 BSIR (December 15),California,OA-Ventura County ,Enhance capability to perform post-incident structural damage and mitigation assessment,2014-07-01T00:00:00+00:00,2015-06-01T00:00:00+00:00,9600
2014 BSIR (December 15),Colorado,"Aurora, City  of",Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,89000
2014 BSIR (December 15),California,SA-CA California Governor's Office of Emergency Services,Enhance capabilities to respond to all-hazards events,2014-07-01T00:00:00+00:00,2015-09-01T00:00:00+00:00,12978002
2014 BSIR (December 15),Colorado,"Brighton, City of",Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,41000
2014 BSIR (December 15),Colorado,"Arvada, City of",Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,50000
2014 BSIR (December 15),Colorado,Colorado Department of Public Safety - DHEM,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,2918782.23
2014 BSIR (December 15),Colorado,Boulder County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,105000
2014 BSIR (December 15),Colorado,Custer County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,31488.66
2014 BSIR (December 15),Colorado,Clear Creek County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,70000
2014 BSIR (December 15),Colorado,"Durango, City of",Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,28000
2014 BSIR (December 15),Colorado,Crowley County,Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,30000
2014 BSIR (December 15),Colorado,"Fort Collins, City of",Develop / enhance homeland security / emergency management organization and structure,2014-01-01T00:00:00+00:00,2014-12-01T00:00:00+00:00,83422.5
