datasetId,openFemaDataSet,name,title,description,type,sortOrder,datasetVersion,hash,lastRefresh
openfema-10,DisasterDeclarationsSummaries,declaredCountyArea,Declared County Area,The name or phrase describing the U.S. county that was included in the declaration,string,15,1,236b78c24d7a25b2ed7ed533a5de0e54,2019-11-22T00:11:53.142Z
openfema-10,DisasterDeclarationsSummaries,title,Title,Title for the disaster,string,11,1,0f16973c279aabe2e3ca0408f6767342,2019-11-22T00:11:53.140Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,zipCode,Zip Code,Zip code where property is located,string,4,1,52320fc71e474b6698b236d323a89142,2019-11-22T00:11:53.194Z
openfema-10,DisasterDeclarationsSummaries,hash,Hash,MD5 Hash of the fields and values of the record,string,18,1,c32cabd83f4bdead1f6b117ee388231e,2019-11-22T00:11:53.193Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,disasterNumber,Disaster Number,"Sequentially assigned number used to designate an event or incident declared as a disaster. Please Note: The data field 'Actual Amount Paid' does not exist in HMGP-Historical; any Disaster Number prior to 1239, between 1240 and 1259 will not have the 'Actual Amount Paid' data field",number,5,1,50f37b10ab7bb454c58ad249448bd9a0,2019-11-22T00:11:53.195Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,structureType,Structure Type,"Type of structure such as manufactured home, single family",string,9,1,4877976266f0878b509534f35be219f8,2019-11-22T00:11:53.244Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,dateClosed,Date Closed,Date this project was closed by FEMA,date,8,1,c9d4d616be9c3cd8d60b9cea7727c258,2019-11-22T00:11:53.242Z
openfema-12,HousingAssistanceOwners,zipCode,Zip Code,Zip Code,string,5,1,d775c4e7a87073990c0df28d82d0df8a,2019-11-22T00:11:53.245Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,damageCategory,Damage Category,"Amount of damage, expressed as a percentage, to a structure relative to the market value of the structure before the damage occurred",string,11,1,31beafef53fdc3115443d5490f7c09e6,2019-11-22T00:11:53.244Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,id,ID,Unique ID assigned to the record,string,13,1,77ed5bb94c2efc9bad49751545ab5f59,2019-11-22T00:11:53.246Z
openfema-12,HousingAssistanceOwners,totalInspected,Total Inspected,Total FEMA applicants who received an inspection,number,8,1,8d54b8825456024e3ddb3fa1d88fb440,2019-11-22T00:11:53.292Z
openfema-10,DisasterDeclarationsSummaries,id,ID,Unique ID assigned to the record,string,19,1,45dd24d2787eba19f800c8ea9742a064,2019-11-22T00:11:53.195Z
openfema-12,HousingAssistanceOwners,averageFemaInspectedDamage,Average FEMA Inspected Damage,"Average inspected damage (based on FEMA's inspection guidelines) for valid registration owners within the state, county, zip that had a completed inspection",number,7,1,176db1db9246cfa3b96b209aad6bb834,2019-11-22T00:11:53.294Z
openfema-12,HousingAssistanceOwners,city,City,City,string,4,1,364e9a793cabe6fe37f9a5c17df9198e,2019-11-22T00:11:53.250Z
openfema-12,HousingAssistanceOwners,totalDamage,Total Damage,Total damage recorded by FEMA at the time of inspection,number,9,1,b1c2860c010c66927ea9943a3e5fd2d8,2019-11-22T00:11:53.294Z
openfema-12,HousingAssistanceOwners,femaInspectedDamageGreaterThan30000,FEMA Inspected Damage > $30000,"Count of valid registration owners within the state, county, zip that had a completed inspection (based on FEMA's guidelines) where the inspected damage was greater than $30,000",number,14,1,8e00408e1ad0ed43221791c617096bcd,2019-11-22T00:11:53.294Z
openfema-12,HousingAssistanceOwners,femaInspectedDamageBetween20001And30000,FEMA Inspected Damage between $20001 and $30000,"Count of valid registration owners within the state, county, zip that had a completed inspection (based on FEMA's guidelines) where the inspected damage fell between $20,001 and $30,000",number,13,1,33e8e26111627b7508fcc63af58e5ed0,2019-11-22T00:11:53.294Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,actualAmountPaid,Actual Amount Paid,"Actual amount paid to the property owner. The column Actual Amount Paid may or may not reflect the amount actually paid by FEMA to mitigate the structure. Often the negotiated price, based on fair market value prior to the event if applicable, will be offset by duplication of benefits prior to settlement. In addition, the actual amount paid to acquire the structure from both Federal and nonfederal funds may or may not include ancillary costs such as appraisals, closing cost or legal fees, asbestos assessment and abatement and demolition costs among others",number,12,1,f7c234b736ab87c32630ac7059e7c315,2019-11-22T00:11:53.245Z
openfema-12,HousingAssistanceOwners,femaInspectedDamageBetween1And10000,FEMA Inspected Damage between $1 and $10000,"Count of valid registration owners within the state, county, zip that had a completed inspection (based on FEMA's guidelines) where the inspected damage fell between $1 and $10,000",number,11,1,5a1bba94d38674ed4b105530ad20c6ec,2019-11-22T00:11:53.295Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,projectTitle,Project Title,Name assigned to the project after submission to FEMA,string,6,1,77d829033008866aa43dae080615cc90,2019-11-22T00:11:53.195Z
openfema-12,HousingAssistanceOwners,validRegistrations,Valid Registrations,"Count of FEMA registration owners within the state, county, zip where the registration is valid.  In order to be a valid registration, the applicant must be in an Individual Assistance declared state and county and have registered within the FEMA designated registration period",number,6,1,bb553ed4899e22741719af0d51da67dd,2019-11-22T00:11:53.300Z
openfema-12,HousingAssistanceOwners,disasterNumber,Disaster Number,"Sequentially assigned number used to designate an event or incident declared as a disaster.  For more information on the disaster process, https://www.fema.gov",string,1,1,6d2596976ace8a4f2043234e98708f29,2019-11-22T00:11:53.245Z
openfema-12,HousingAssistanceOwners,femaInspectedDamageBetween10001And20000,FEMA Inspected Damage between $10001 and $20000,"Count of valid registration owners within the state, county, zip that had a completed inspection (based on FEMA's guidelines) where the inspected damage fell between $10,001 and $20,000",number,12,1,80005c84a13dade5321abaea98e2b0cb,2019-11-22T00:11:53.300Z
openfema-12,HousingAssistanceOwners,totalApprovedIhpAmount,Total Approved IHP Amount,Total amount approved in dollars under FEMA's IHP program,number,16,1,a17890c385a3877c35e282581e858a53,2019-11-22T00:11:53.301Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,county,County,"County, or counties, associated with the project. When a project involves more than one county, a semicolon delimited list of counties is displayed",string,3,1,473c4e88c15731d9e79901220a2a1379,2019-11-22T00:11:53.194Z
openfema-12,HousingAssistanceOwners,county,County,"Full name of the County (e.g., Broward), followed by its type in parenthesis (e.g., county, parish, borough, etc.)",string,3,1,680d8cc2058b7355dbc95b2d86a55fed,2019-11-22T00:11:53.250Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,projectNumber,Project Number,"Number assigned to the project after submission to FEMA. For disaster programs, the project number must be combined with the disaster number to be meaningful and unique. For non-disaster programs, the project number is unique by itself and contains information regarding program area, region, state, and FY",number,7,1,bc7919d25b8ed904a9a751ecaee21097,2019-11-22T00:11:53.194Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,state,State,"The name or phrase describing the U.S. state, district, or territory",string,1,1,c5d08c4e37275069e860407714ea9280,2019-11-22T00:11:53.195Z
openfema-10,DisasterDeclarationsSummaries,lastRefresh,Last Refresh,Date the record was last updated in the API data store,date,17,1,df1edd6edf4668d570e44f20655ff241,2019-11-22T00:11:53.191Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,typeOfResidency,Type of Residency,"Type of residency such as primary, rental, secondary",string,10,1,e049b5a3b6a2068a7672c2ba5ab9cb02,2019-11-22T00:11:53.250Z
openfema-11,HazardMitigationGrantProgramPropertyAcquisitions,city,City,"City, or cities, associated with the project. When a project involves more than one city, a semicolon delimited list of cities is displayed",string,2,1,4ccea4b43bb9968b7c5af946ee638e1e,2019-11-22T00:11:53.194Z
openfema-12,HousingAssistanceOwners,approvedForFemaAssistance,Approved for FEMA Assistance,Number of FEMA applicants who were approved for FEMA's IHP assistance,number,15,1,b08a133dacafc55b56c11d7a404b444d,2019-11-22T00:11:53.295Z
openfema-12,HousingAssistanceOwners,state,State,"Two letter abbreviation of the state (e.g., VA) where the disaster was declared",string,2,1,8c9935e2f81030ab5cd2d09962a7c8a4,2019-11-22T00:11:53.245Z
openfema-12,HousingAssistanceOwners,noFemaInspectedDamage,No FEMA Inspected Damage,Number of applicants who received an inspection but had no damage recorded by the inspector,number,10,1,c7d6ec2729af193cb63c7a8a2be84934,2019-11-22T00:11:53.300Z
openfema-12,HousingAssistanceOwners,repairReplaceAmount,Repair/Replace Amount,Total amount of Repair and/or Replacement approved in dollars for Housing Assistance (HA) under FEMA's IHP program (note that renters are not eligible for this type of assistance because they do not own the structure),number,17,1,2026a86e084546c9fa824b5c89234dac,2019-11-22T00:11:53.295Z
openfema-12,HousingAssistanceOwners,approvedBetween1And10000,Approved between $1 and $10000,"Count of valid registration owners within the state, county, zip that received a financial grant from FEMA that fell between $1 and $10,000",number,20,1,a476130033ff4eeed21e1bbb4a05b22f,2019-11-22T00:11:53.345Z
openfema-13,HousingAssistanceRenters,city,City,City,string,4,1,29c8463c3ae6523a9ec54348f40f82f3,2019-11-22T00:11:53.345Z
openfema-12,HousingAssistanceOwners,hash,Hash,MD5 Hash of the fields and values of the record,string,26,1,52115504c08e787ebf688de47e6f9499,2019-11-22T00:11:53.346Z
openfema-12,HousingAssistanceOwners,otherNeedsAmount,Other Needs Amount,"Total amount of Other Needs (ONA) assistance approved in dollars under FEMA's IHP program (this could include, personal property, transportation, medical, dental, funeral, essential tools, moving/storage, miscellaneous and other needs)",number,19,1,4efd57ad562887960a6df73435303f57,2019-11-22T00:11:53.355Z
openfema-12,HousingAssistanceOwners,lastRefresh,Last Refresh,Date the record was last updated in the API data store,date,25,1,e21f4ab9f50291e9552dff4baac0deb2,2019-11-22T00:11:53.347Z
openfema-13,HousingAssistanceRenters,validRegistrations,Valid Registrations,"Count of FEMA registration renters within the state, county, zip where the registration is valid.  In order to be a valid registration, the applicant must be in an Individual Assistance declared state and county and have registered within the FEMA designated registration period",number,6,1,bb0f42f3cbb6e8339de1a6f6a6eff486,2019-11-22T00:11:53.396Z
openfema-13,HousingAssistanceRenters,disasterNumber,Disaster Number,"Sequentially assigned number used to identify a declared event in a U.S. state or territory. Disasters in the range 1-1999 are major disasters and 3000 and above are special emergency declarations. For more information on the disaster process, https://www.fema.gov",number,1,1,472bdf0cdca15242b6ca8d132301f307,2019-11-22T00:11:53.347Z
openfema-13,HousingAssistanceRenters,zipCode,Zip Code,Zip Code,string,5,1,1088c3ce100ef5579e3c18f37800cdd3,2019-11-22T00:11:53.398Z
openfema-13,HousingAssistanceRenters,repairReplaceAmount,Repair/Replace Amount,Total amount of Repair and/or Replacement approved in dollars for Housing Assistance (HA) under FEMA's IHP program (note that renters are not eligible for this type of assistance because they do not own the structure),number,14,1,93ccb2d1e1c96469fc3727d7d7df96b5,2019-11-22T00:11:53.400Z
openfema-13,HousingAssistanceRenters,totalInspected,Total Inspected,Total FEMA applicants who received an inspection,number,7,1,8c0f3079ec569e62df3ae25d5df2044b,2019-11-22T00:11:53.400Z
openfema-13,HousingAssistanceRenters,approvedForFemaAssistance,Approved for FEMA Assistance,Number of FEMA applicants who were approved for FEMA's IHP assistance,number,12,1,e62052ded5db149647d9d035d2339c76,2019-11-22T00:11:53.407Z
openfema-13,HousingAssistanceRenters,totalWithSubstantialDamage,Total with Substantial Damage,Renters do not receive a full home inspection as they are only eligible for the items that they own.  Instead a degree of damage is assigned.  This is a count of valid registration renters who were deemed to have a had Substantial degree of damage that the time of inspection,number,11,1,c071656d51110129e874ff77a90481cf,2019-11-22T00:11:53.401Z
openfema-13,HousingAssistanceRenters,rentalAmount,Rental Amount,Total amount of Rental Assistance approved in dollars for Housing Assistance (HA) under FEMA's IHP program,number,15,1,b8792beb2d161419b4f9ba135eb316c7,2019-11-22T00:11:53.407Z
openfema-13,HousingAssistanceRenters,otherNeedsAmount,Other Needs Amount,"Total amount of Other Needs (ONA) assistance approved in dollars under FEMA's IHP program (this could include, personal property, transportation, medical, dental, funeral, essential tools, moving/storage, miscellaneous and other needs)",number,16,1,c5eda676845b64d556027e2d8194ea74,2019-11-22T00:11:53.401Z
openfema-13,HousingAssistanceRenters,approvedBetween10001And25000,Approved between $10001 and $25000,"Count of valid registration renters within the state, county, zip that received a financial grant from FEMA that fell between $10,001 and $25,000",number,18,1,a1562bb5fd1ce14c838b49e25230f4ee,2019-11-22T00:11:53.408Z
openfema-13,HousingAssistanceRenters,totalInspectedWithNoDamage,Inspected with No Damage,Renters do not receive a full home inspection as they are only eligible for the items that they own.  Instead a degree of damage is assigned.  This is a count of valid registration renters who were deemed to have had no damage that the time of inspection,number,8,1,9e24f084a7cc610c0190a18d38cd3947,2019-11-22T00:11:53.408Z
openfema-13,HousingAssistanceRenters,approvedBetween1And10000,Approved between $1 and $10000,"Count of valid registration renters within the state, county, zip that received a financial grant from FEMA that fell between $1 and $10,000",number,17,1,eab432781f6bdbf75c73fda7cd06fead,2019-11-22T00:11:53.408Z
openfema-13,HousingAssistanceRenters,approvedBetween25001AndMax,Approved between $25001 and Max,"Count of valid registration renters within the state, county, zip that received a financial grant from FEMA that fell between $25,001 and the maximum financial grant from FEMA",number,19,1,cf7c3041b766c84463d919130265f7ce,2019-11-22T00:11:53.450Z
openfema-13,HousingAssistanceRenters,totalMaxGrants,Total Max Grants,"Count of valid registration renters within the state, county, zip that received the maximum financial grant from FEMA",number,20,1,05f8d238ff0c6f6106e18092a18d0de7,2019-11-22T00:11:53.452Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,city,City,City,string,4,1,55fb4e088a9f0a782d44859e274f13b6,2019-11-22T00:11:53.454Z
openfema-13,HousingAssistanceRenters,hash,Hash,MD5 Hash of the fields and values of the record,string,23,1,171111bebcd7b3fe890398fc34199615,2019-11-22T00:11:53.453Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,zipCode,Zip,Zip code,string,5,1,e183d7ceb633c8409dc15f24ba75cec0,2019-11-22T00:11:53.454Z
openfema-13,HousingAssistanceRenters,lastRefresh,Last Refresh,Date the record was last updated in the API data store,date,22,1,2ed4033f38fc96bb17b0ede64965a334,2019-11-22T00:11:53.453Z
openfema-12,HousingAssistanceOwners,id,ID,Unique ID assigned to the record,string,24,1,62f481dc2d3d4c00af6507e29d65d661,2019-11-22T00:11:53.354Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,disasterNumber,Disaster Number,"Sequentially assigned number used to designate an event or incident declared as a disaster.  For more information on the disaster process, https://www.fema.gov",number,1,1,57471e56e8a17efe546ee9ff1e8c6c23,2019-11-22T00:11:53.453Z
openfema-13,HousingAssistanceRenters,county,County,"Full name of the County (e.g., Broward), followed by its type in parenthesis (e.g., county, parish, borough, etc.)",string,3,1,477d99c77c8f250af64e4bb738dff09d,2019-11-22T00:11:53.346Z
openfema-12,HousingAssistanceOwners,approvedBetween10001And25000,Approved between $10001 and $25000,"Count of valid registration owners within the state, county, zip that received a financial grant from FEMA that fell between $$10,001 and $25,000",number,21,1,8d85b45816ccdfcf159d933c75b38ea9,2019-11-22T00:11:53.345Z
openfema-13,HousingAssistanceRenters,state,State ,"Two letter abbreviation of the state (e.g., VA) where the disaster was declared",string,2,1,e87ba5a9f6b78172683c74d403751a7b,2019-11-22T00:11:53.354Z
openfema-12,HousingAssistanceOwners,rentalAmount,Rental Amount,Total amount of Rental Assistance approved in dollars for Housing Assistance (HA) under FEMA's IHP program,number,18,1,7307851b3a779da891d1b4b0689520ef,2019-11-22T00:11:53.343Z
openfema-12,HousingAssistanceOwners,totalMaxGrants,Total Max Grants,"Count of valid registration owners within the state, county, zip that received the maximum financial grant from FEMA",number,23,1,2d8dfa4e950da2c32daf94d92c22178d,2019-11-22T00:11:53.347Z
openfema-13,HousingAssistanceRenters,totalWithModerateDamage,Total with Moderate Damage,Renters do not receive a full home inspection as they are only eligible for the items that they own.  Instead a degree of damage is assigned.  This is a count of valid registration renters who were deemed to have a had Moderate degree of damage that the time of inspection,number,9,1,ca4bc55b41909e0ca471a27fc8bef528,2019-11-22T00:11:53.407Z
openfema-12,HousingAssistanceOwners,approvedBetween25001AndMax,Approved between $25001 and Max,"Count of valid registration owners within the state, county, zip that received a financial grant from FEMA that fell between $25,001 and the maximum financial grant from FEMA",number,22,1,043c99541fa35f7ed4bd343e4835a5ec,2019-11-22T00:11:53.346Z
openfema-13,HousingAssistanceRenters,totalApprovedIhpAmount,Total Approved IHP Amount,Total amount approved in dollars under FEMA's IHP program,number,13,1,5ab997ef37b9c3f1905c3bf6161f1f09,2019-11-22T00:11:53.401Z
openfema-13,HousingAssistanceRenters,totalWithMajorDamage,Total with Major Damage,Renters do not receive a full home inspection as they are only eligible for the items that they own.  Instead a degree of damage is assigned.  This is a count of valid registration renters who were deemed to have a had Major degree of damage that the time of inspection,number,10,1,6457ac5e7caa93cc36fa0f7b06fd9663,2019-11-22T00:11:53.399Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,validCallCenterRegistrations,Valid Call Center Registrations,Total number of valid registrations submitted through the call center,number,7,1,0afad70110eccb26c25f91b1a0cdc1c7,2019-11-22T00:11:53.454Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,totalValidRegistrations,Total Valid Registrations,Total number of valid registrations,number,6,1,a69de721bf6a0991daaa58833a212a2a,2019-11-22T00:11:53.460Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,validMobileRegistrations,Valid Mobile Registrations,Total number of valid registrations submitted through a mobile device,number,9,1,95fdeddea68a98fb26b4330e8af73497,2019-11-22T00:11:53.460Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,hash,Hash,MD5 Hash of the fields and values of the record,string,20,1,8be94c5e5f209f66fbccf08e4616212a,2019-11-22T00:11:53.504Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,county,County,"The name of a U.S. county, parish, borough, independent city or other political subdivision of a U.S. state or territory",string,3,1,93eeb59b3b8a12f15d3523754a18d8d3,2019-11-22T00:11:53.460Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,ihpEligible,IHP Eligible,Total number of valid registrations eligible for IHP assistance,number,11,1,88ed8693b216141b0c431184731ac786,2019-11-22T00:11:53.503Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,ihpAmount,IHP Amount,Total IHP Amount awarded in dollars for Housing Assistance (HA) and Other Needs Assistance (ONA)  among eligible applicants for designated incident,number,12,1,0bb8b4b07e95bbf4898465bad6692d84,2019-11-22T00:11:53.501Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,haReferrals,HA Referrals,Total number of applications referred to the Housing Assistance (HA) Program,number,13,1,2fd52b10c00100ab98df3c8bd9e297b0,2019-11-22T00:11:53.512Z
openfema-13,HousingAssistanceRenters,id,ID,Unique ID assigned to the record,string,21,1,e1b0be8083c3e96454081b5c8877264d,2019-11-22T00:11:53.461Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,haAmount,HA Amount,Total amount awarded for Housing Assistance (HA) in dollars from the Individual and Households Program (IHP),number,15,1,3863fa59057107321e01bacfe2d34521,2019-11-22T00:11:53.513Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,onaAmount,ONA Amount,Total amount awarded in dollars for Other Needs Assistance (ONA) from the Individual and Households Program (IHP),number,18,1,f67f444289d02b33459446b4b95553c1,2019-11-22T00:11:53.504Z
openfema-15,NonDisasterAssistanceFirefighterGrants,lastRefresh,Last Refresh Date,Date the record was last updated in the API data store,date,10,1,b63896dbe63353cca2695cba14715997,2019-11-22T00:11:53.556Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,lastRefresh,Last Refresh,Date the record was last updated in the API data store,date,19,1,2ce97febac7a25b702e7332e3e7b3036,2019-11-22T00:11:53.504Z
openfema-1,PublicAssistanceFundedProjectsSummaries,disasterNumber,Disaster Number,Sequentially assigned number used to designate an event or incident declared as a disaster. For more information on the disaster process visit https://www.fema.gov,number,1,1,7c30791b0443b3f8373554a5304dcf16,2019-11-22T00:11:53.556Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,id,ID,Unique ID assigned to the record,string,21,1,871f06bc0f3c64b9eb06c2d95f39c811,2019-11-22T00:11:53.505Z
openfema-1,PublicAssistanceFundedProjectsSummaries,incidentType,Incident Type,"Type of incident such as fire or flood. The incident type will affect the types of assistance available. For more information on incident types, please visit: https://www.fema.gov",string,3,1,a7e2767282570f694e051fe8c19c4512,2019-11-22T00:11:53.560Z
openfema-15,NonDisasterAssistanceFirefighterGrants,fiscalYear,Fiscal Year,"Represents the government budget fiscal year, which is from October 1st - September 30th. Note: Some grant programs are budgeted for a fiscal year and spent in another ' i.e. multi-year funded awards place money from current fiscal year appending a prior award number",number,2,1,1e94e347b602ba7f248847bec0ae4ee0,2019-11-22T00:11:53.505Z
openfema-1,PublicAssistanceFundedProjectsSummaries,declarationDate,Declaration Date,Date the disaster was declared,date,2,1,0974971a93d57bc9c96c23cfe1141bdc,2019-11-22T00:11:53.559Z
openfema-15,NonDisasterAssistanceFirefighterGrants,programName,Program Name,The program name and fiscal year in which the money was appropriated. Name of the grant program from grants.gov and set in the funding notification announcement. This term is also referred to in other sources as 'Solicitation' or 'Grant Title',string,3,1,9d79780b210a0c01baee7f00dfa88077,2019-11-22T00:11:53.506Z
openfema-1,PublicAssistanceFundedProjectsSummaries,numberOfProjects,Number Of Projects,Number of funded Project Worksheets associated with the applicant under the specified declaration,number,8,1,6dea4d4a5d3afd4b21522f31cf993da8,2019-11-22T00:11:53.562Z
openfema-15,NonDisasterAssistanceFirefighterGrants,programAbbreviation,Program Abbreviation,Abbreviation for Program Name,string,4,1,c24458d522a385296c187108c21956e0,2019-11-22T00:11:53.512Z
openfema-1,PublicAssistanceFundedProjectsSummaries,state,State,The name of a U.S. state or territory,string,4,1,63be64633c28dd5cbc7622131d37a07c,2019-11-22T00:11:53.562Z
openfema-15,NonDisasterAssistanceFirefighterGrants,vendorState,Vendor State,The state in which the awardee is located. This is also referred to as 'Vendor State Code',string,5,1,4670603c02da25e6cf1f45c716f46aec,2019-11-22T00:11:53.506Z
openfema-15,NonDisasterAssistanceFirefighterGrants,awardAmount,Award Amount,"The amount of allocated funds that are obligated to an awardee. While this is synonymous to 'Obligated Amount', Award Amount is the agreed upon term for use in R&IM reports. Note: Funds can be de-obligated so this amount is not final until award is closed. Therefore, in reports, terms such as 'Initial Award Amount' and 'Current Award Amount' can and should be used where necessary",number,6,1,ef6abbf610fc0caf1a3ba4da5e826368,2019-11-22T00:11:53.563Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,haEligible,HA Eligible,Total number of valid registrations eligible for Housing Assistance (HA),number,14,1,d7fa6e5235e85eb54f8722d79359f19c,2019-11-22T00:11:53.512Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,state,State,Two-letter state abbreviation for disaster state,string,2,1,f7574589659775118f83fdbd8a743284,2019-11-22T00:11:53.455Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,onaEligible,ONA Eligible,Total number of valid registrations eligible for Other Needs Assistance (ONA),number,17,1,ff3e3119aecd2d0c4d65f8a97db0bb77,2019-11-22T00:11:53.513Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,validWebRegistrations,Valid Web Registrations,Total number of valid registrations submitted through the website,number,8,1,71d56757a20f6e4466cf758c0fed330f,2019-11-22T00:11:53.459Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,onaReferrals,ONA Referrals,Total number of applications referred to the Other Needs Assistance (ONA) Program,number,16,1,aca035a279f92af11f0cf765f0781d00,2019-11-22T00:11:53.513Z
openfema-15,NonDisasterAssistanceFirefighterGrants,hash,Hash,MD5 Hash of fields and values of  the record,string,9,1,2228be0c39247d8d0f68d43713231297,2019-11-22T00:11:53.563Z
openfema-14,RegistrationIntakeIndividualsHouseholdPrograms,ihpReferrals,IHP Referrals,Cumulative number of applicants referred to the IHP Program,number,10,1,94ad0d42fcc6b9b61245534897c7ef46,2019-11-22T00:11:53.460Z
openfema-1,PublicAssistanceFundedProjectsSummaries,county,County,"The name of a U.S. county, parish, borough, independent city or other political subdivision of a U.S. state or territory",string,5,1,4b0840ac0bc0e6443c58e8e79266cceb,2019-11-22T00:11:53.562Z
openfema-15,NonDisasterAssistanceFirefighterGrants,awardNumber,Award Number,"The agreed upon term for the number assigned to each individual award within the grant program and fiscal year. Each award number is unique to that year and recipient. This is sometimes referred to as 'Contract Number', 'Purchase Order Number', or 'Obligation Number'",string,1,1,458d54f6ded26a89afe14435652744ca,2019-11-22T00:11:53.505Z
