Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4454,TX,Hidalgo (County),MISSION,78574,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),MONTE ALTO,78538,8,8,6,2,0,0,4," $6,112.11 ", $-   ," $3,858.00 ","$2,254",4,0,0,0
4454,TX,Hidalgo (County),PHARR,78577,9,7,7,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),PROGRESO,78579,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Hidalgo (County),PROGRESO,78596,1,1,1,0,0,0,1, $548.32 , $-   , $-   ,$548,1,0,0,0
4454,TX,Hidalgo (County),WESLACO,78596,12,11,10,1,0,0,4," $3,890.51 ", $-   ," $2,135.00 ","$1,756",4,0,0,0
4454,TX,Hidalgo (County),WESLACO,78599,25,21,12,9,0,0,12," $24,056.11 ", $-   ," $9,956.00 ","$14,100",12,0,0,0
4454,TX,Hidalgo (County),WESLACO,79596,1,1,1,0,0,0,1, $214.72 , $-   , $-   ,$215,1,0,0,0
4454,TX,Willacy (County),LASARA,78561,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4454,TX,Willacy (County),LYFORD,78569,14,12,7,5,0,0,6," $20,854.48 ", $-   ," $6,142.00 ","$14,712",6,0,0,0
4454,TX,Willacy (County),RAYMONDVILLE,78580,126,113,97,16,0,0,52," $90,169.69 ", $-   ," $59,108.75 ","$31,061",52,0,0,0
4454,TX,Willacy (County),SEBASTIAN,78569,22,18,8,10,0,0,11," $29,419.55 ", $-   ," $14,944.00 ","$14,476",11,0,0,0
4454,TX,Willacy (County),SEBASTIAN,78594,8,7,4,3,0,0,4," $9,933.23 ", $-   ," $3,914.00 ","$6,019",4,0,0,0
4451,MO,Andrew (County),AMAZONIA,64421,5,5,3,2,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Andrew (County),ROSENDALE,64483,4,4,3,1,0,0,1," $1,639.23 ", $-   , $-   ,"$1,639",1,0,0,0
4451,MO,Andrew (County),SAVANNAH,64485,4,2,1,1,0,0,1, $450.00 , $-   , $-   ,$450,1,0,0,0
4451,MO,Atchison (County),FAIRFAX,64446,2,2,2,0,0,0,1, $809.00 , $-   , $809.00 ,$0 ,1,0,0,0
4451,MO,Atchison (County),ROCK PORT,64482,7,7,4,3,0,0,5," $4,866.00 ", $-   ," $4,866.00 ",$0 ,5,0,0,0
4451,MO,Atchison (County),TARKIO,64491,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Atchison (County),WATSON,64496,3,1,0,1,0,0,1, $976.00 , $-   , $976.00 ,$0 ,1,0,0,0
4451,MO,Boone (County),COLUMBIA,65203,7,6,2,4,0,0,3," $11,303.60 ", $-   ," $5,104.00 ","$6,200",3,0,0,0
4451,MO,Boone (County),HARTSBURG,65039,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Buchanan (County),AGENCY,64401,2,2,2,0,0,0,1," $1,182.00 ", $-   ," $1,182.00 ",$0 ,1,0,0,0
4451,MO,Buchanan (County),MOUND CITY,64470,1,1,0,1,0,0,1," $6,281.31 ", $-   ," $1,182.00 ","$5,099",1,0,0,0
4451,MO,Buchanan (County),RUSHVILLE,64484,14,13,8,5,0,0,4," $12,631.71 ", $-   ," $7,088.00 ","$5,544",4,0,0,0
4451,MO,Buchanan (County),SAINT JOSEPH,64503,1,1,1,0,0,0,1," $2,444.52 ", $-   ," $2,321.40 ",$123,1,0,0,0
4451,MO,Buchanan (County),SAINT JOSEPH,64505,2,2,2,0,0,0,1, $450.00 , $-   , $-   ,$450,1,0,0,0
4451,MO,Buchanan (County),SAINT JOSEPH,64507,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Callaway (County),FULTON,65251,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Callaway (County),JEFFERSON CITY,65043,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Callaway (County),MOKANE,65059,1,1,0,1,0,0,1," $1,378.00 ", $-   ," $1,378.00 ",$0 ,1,0,0,0
4451,MO,Carroll (County),BOSWORTH,64623,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Carroll (County),CARROLLTON,64633,13,5,2,3,0,0,3," $4,212.00 ", $-   ," $4,212.00 ",$0 ,3,0,0,0
4451,MO,Carroll (County),NORBORNE,64668,5,4,1,2,1,0,4," $6,241.99 ", $-   ," $5,992.00 ",$250,4,0,0,0
4451,MO,Chariton (County),BRUNSWICK,65236,10,9,1,8,0,0,7," $22,021.90 ", $-   ," $11,452.00 ","$10,570",7,0,0,0
4451,MO,Cole (County),EUGENE,65032,2,1,0,0,1,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Cole (County),JEFFERSON CITY,65101,239,181,100,56,25,0,98," $240,291.05 ", $990.99 ," $108,293.37 ","$131,007",96,2,0,0
4451,MO,Cole (County),JEFFERSON CITY,65109,13,7,5,1,1,0,6," $22,583.27 ", $-   ," $7,900.00 ","$14,683",6,0,0,0
4451,MO,Greene (County),ROGERSVILLE,65742,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Greene (County),SPRINGFIELD,65803,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Greene (County),WILLARD,65781,2,1,0,1,0,0,2," $20,101.36 ", $-   ," $2,336.00 ","$17,765",1,1,0,0
4451,MO,Holt (County),CORNING,64437,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Holt (County),CORNING,64446,1,1,0,1,0,0,1," $1,464.00 ", $-   ," $1,464.00 ",$0 ,1,0,0,0
4451,MO,Holt (County),CRAIG,64437,29,29,18,10,1,0,16," $36,080.20 ", $-   ," $18,930.00 ","$17,150",16,0,0,0
4451,MO,Holt (County),FOREST CITY,64451,1,1,0,1,0,0,1, $976.00 , $-   , $976.00 ,$0 ,1,0,0,0
4451,MO,Holt (County),FORTESCUE,64437,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Holt (County),MOUND CITY,64470,35,34,5,29,0,0,29," $123,510.92 ", $-   ," $34,333.92 ","$89,177",29,0,0,0
4451,MO,Jackson (County),BLUE SPRINGS,64015,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),INDEPENDENCE,64050,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),INDEPENDENCE,64052,1,1,1,0,0,0,1," $15,764.23 ", $-   , $-   ,"$15,764",0,1,0,0
4451,MO,Jackson (County),INDEPENDENCE,64055,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64110,2,2,1,1,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64120,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64129,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64130,1,1,0,1,0,0,1," $1,425.30 ", $-   , $-   ,"$1,425",1,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64131,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64132,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64133,1,1,0,1,0,0,1," $2,572.00 ", $-   ," $2,572.00 ",$0 ,1,0,0,0
4451,MO,Jackson (County),KANSAS CITY,64137,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),LEES SUMMIT,64081,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),LEVASY,64066,5,5,1,3,1,0,4," $12,197.58 ", $-   ," $11,149.08 ","$1,049",4,0,0,0
4451,MO,Jackson (County),LEVASY,64088,3,3,2,1,0,0,1," $7,652.88 ", $-   ," $2,572.00 ","$5,081",1,0,0,0
4451,MO,Jackson (County),OAK GROVE,64075,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),RAYTOWN,64133,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jackson (County),RAYTOWN,64138,1,1,0,1,0,0,1," $1,572.00 ", $-   ," $1,572.00 ",$0 ,1,0,0,0
4451,MO,Jackson (County),SIBLEY,64088,5,4,1,3,0,0,2," $11,332.73 ", $-   ," $4,486.00 ","$6,847",2,0,0,0
4451,MO,Jasper (County),CARL JUNCTION,64834,5,4,2,1,1,0,3," $32,793.60 ", $-   ," $4,922.00 ","$27,872",2,1,0,0
4451,MO,Jasper (County),JASPER,64755,1,1,1,0,0,0,1," $8,115.93 ", $-   ," $1,134.00 ","$6,982",1,0,0,0
4451,MO,Jasper (County),JOPLIN,64801,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jefferson (County),BARNHART,63012,1,1,0,1,0,0,1," $1,848.00 ", $-   ," $1,848.00 ",$0 ,1,0,0,0
4451,MO,Jefferson (County),CRYSTAL CITY,63019,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jefferson (County),FENTON,63026,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Jefferson (County),FESTUS,63028,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Lafayette (County),CORDER,64021,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Lewis (County),LA GRANGE,63448,1,1,0,0,1,0,1, $976.00 , $-   , $976.00 ,$0 ,1,0,0,0
4451,MO,Lincoln (County),ELSBERRY,63343,4,4,1,3,0,0,3," $8,237.17 ", $-   ," $6,417.00 ","$1,820",3,0,0,0
4451,MO,Lincoln (County),FOLEY,63347,13,13,6,5,2,0,7," $32,600.47 ", $-   ," $15,239.71 ","$17,361",5,2,0,0
4451,MO,Lincoln (County),OLD MONROE,63369,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Lincoln (County),TROY,63379,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Lincoln (County),WINFIELD,63389,25,22,9,10,3,0,13," $24,333.12 ", $-   ," $22,173.16 ","$2,160",13,0,0,0
4451,MO,Livingston (County),CHILLICOTHE,64601,3,2,1,1,0,0,1," $2,205.79 ", $-   ," $1,330.00 ",$876,1,0,0,0
4451,MO,McDonald (County),ANDERSON,64831,10,9,3,6,0,0,6," $17,573.30 ", $-   ," $6,852.00 ","$10,721",6,0,0,0
4451,MO,McDonald (County),GOODMAN,64843,1,1,0,1,0,0,1," $8,935.84 ", $-   ," $1,680.00 ","$7,256",1,0,0,0
4451,MO,McDonald (County),NOEL,64854,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Miller (County),ELDON,65026,74,55,30,21,4,0,39," $103,368.47 ", $-   ," $45,442.00 ","$57,926",39,0,0,0
4451,MO,Newton (County),JOPLIN,64804,1,1,0,1,0,0,1," $2,368.72 ", $-   ," $1,134.00 ","$1,235",1,0,0,0
4451,MO,Newton (County),NEOSHO,64850,25,22,15,7,0,0,12," $43,921.22 ", $-   ," $10,661.30 ","$33,260",11,1,0,0
4451,MO,Osage (County),CHAMOIS,65024,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,Pike (County),ANNADA,63330,5,5,2,3,0,0,3," $10,366.37 ", $-   ," $4,506.72 ","$5,860",3,0,0,0
4451,MO,Pike (County),CLARKSVILLE,63336,4,3,0,3,0,0,3," $10,972.08 ", $-   ," $3,512.00 ","$7,460",3,0,0,0
4451,MO,Pike (County),LOUISIANA,63353,11,11,4,6,1,0,7," $27,934.83 ", $-   ," $9,348.00 ","$18,587",7,0,0,0
4451,MO,Platte (County),RUSHVILLE,64484,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4451,MO,St. Charles (County),O FALLON,63366,4,4,2,1,1,0,2," $5,399.03 ", $-   ," $3,696.00 ","$1,703",2,0,0,0
4451,MO,St. Charles (County),PORTAGE DES SIOUX,63373,34,32,9,18,5,0,24," $60,509.22 ", $-   ," $42,326.41 ","$18,183",24,0,0,0
4451,MO,St. Charles (County),SAINT CHARLES,63301,27,19,9,8,2,0,11," $43,042.63 ", $-   ," $24,943.88 ","$18,099",10,1,0,0
4451,MO,St. Charles (County),WEST ALTON,63386,27,23,3,12,8,0,19," $61,413.11 ", $-   ," $36,358.00 ","$25,055",18,1,0,0
4447,OH,Darke (County),NEW MADISON,45346,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVER CREEK,45431,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45430,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),BEAVERCREEK,45431,90,56,20,28,8,0,37," $132,597.65 ", $-   ," $72,206.65 ","$60,391",36,1,0,0
4447,OH,Greene (County),BEAVERCREEK,45434,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),BELLBROOK,45305,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),DAYTON,45431,23,13,5,5,3,0,5," $11,618.77 ", $-   ," $9,742.00 ","$1,877",5,0,0,0
4447,OH,Greene (County),DAYTON,45432,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),DAYTON,45433,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),FAIRBORN,45324,10,5,5,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),HUBER HEIGHTS,45424,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),XENIA,45385,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Greene (County),YELLOW SPRINGS,45387,3,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Hocking (County),LAURELVILLE,43135,3,1,0,0,1,0,1," $4,177.39 ", $-   ," $1,142.00 ","$3,035",1,0,0,0
4447,OH,Hocking (County),ROCKBRIDGE,43149,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),AUSTINTOWN,44515,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),BOARDMAN,44512,14,12,7,5,0,0,7," $11,713.33 ", $-   ," $5,622.00 ","$6,091",7,0,0,0
4447,OH,Mahoning (County),CAMPBELL,44405,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),CANFIELD,44406,44,39,15,24,0,0,25," $57,853.98 ", $-   ," $24,983.41 ","$32,871",25,0,0,0
4447,OH,Mahoning (County),DUBLIN,43017,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),HUBBARD,44425,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),LAKE MILTON,44429,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),LOWELLVILLE,44436,1,1,0,1,0,0,1," $3,293.97 ", $-   ," $1,794.00 ","$1,500",1,0,0,0
4447,OH,Mahoning (County),NEW ALBANY,43054,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),STRUTHERS,44471,2,2,2,0,0,0,1, $242.10 , $-   , $-   ,$242,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44502,27,26,19,7,0,0,11," $13,938.11 ", $-   ," $7,442.00 ","$6,496",11,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44504,7,7,6,1,0,0,2," $3,404.98 ", $-   ," $2,280.00 ","$1,125",2,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44505,17,16,14,2,0,0,2," $4,018.32 ", $-   ," $2,882.00 ","$1,136",2,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44506,4,4,3,1,0,0,1," $1,794.00 ", $-   ," $1,794.00 ",$0 ,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44507,11,11,10,1,0,0,1, $484.20 , $-   , $-   ,$484,1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44509,13,13,12,1,0,0,1," $4,895.49 ", $-   ," $1,794.00 ","$3,101",1,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44510,4,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44511,33,32,28,4,0,0,8," $5,119.98 ", $-   ," $1,370.00 ","$3,750",8,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44512,57,47,32,15,0,0,21," $25,676.50 ", $-   ," $13,610.00 ","$12,067",21,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44514,4,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44515,4,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Mercer (County),CELINA,45822,10,7,2,2,3,0,5," $6,304.00 ", $-   ," $6,304.00 ",$0 ,5,0,0,0
4447,OH,Mercer (County),MENDON,45862,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Miami (County),BROOKVILLE,45309,1,1,1,0,0,0,1, $269.99 , $-   , $-   ,$270,1,0,0,0
4447,OH,Miami (County),LAURA,45337,4,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Miami (County),LOWER SALEM,45745,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Miami (County),LUDLOW FALLS,45339,4,3,2,0,1,0,2," $8,348.11 ", $-   ," $3,304.00 ","$5,044",2,0,0,0
4447,OH,Miami (County),PIQUA,45356,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Miami (County),TIPP CITY,45371,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Miami (County),WEST MILTON,45383,2,1,0,0,1,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),BROOKVILLE,45309,28,16,7,5,4,0,10," $37,101.34 ", $-   ," $19,108.71 ","$17,993",10,0,0,0
4447,OH,Montgomery (County),CENTERVILLE,45458,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),CINCINNATI,45239,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),CLAYTON,45315,21,17,14,2,1,0,6," $5,789.21 ", $-   ," $3,304.00 ","$2,485",6,0,0,0
4447,OH,Montgomery (County),DAYTON,45390,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45402,9,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45403,42,31,29,1,1,0,5," $27,510.92 ", $-   ," $1,388.68 ","$26,122",4,0,1,0
4447,OH,Montgomery (County),DAYTON,45404,178,140,88,43,9,0,61," $179,068.95 ", $-   ," $85,877.15 ","$93,192",59,2,0,0
4447,OH,Montgomery (County),DAYTON,45405,331,185,107,42,36,0,82," $219,652.02 ", $-   ," $125,085.15 ","$94,567",81,1,0,0
4447,OH,Montgomery (County),DAYTON,45406,39,26,26,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45407,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45410,7,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45414,317,245,143,83,19,0,133," $312,477.71 ", $-   ," $182,426.32 ","$130,051",133,0,0,0
4447,OH,Montgomery (County),DAYTON,45415,115,57,46,9,2,0,18," $46,915.93 ", $-   ," $15,656.25 ","$31,260",18,0,0,0
4447,OH,Montgomery (County),DAYTON,45416,54,34,31,3,0,0,2," $2,718.55 ", $-   ," $1,198.00 ","$1,521",2,0,0,0
4447,OH,Montgomery (County),DAYTON,45417,29,19,18,1,0,0,1," $2,012.16 ", $-   ," $1,198.00 ",$814,1,0,0,0
4447,OH,Montgomery (County),DAYTON,45419,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45420,5,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45424,15,8,8,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45426,555,425,201,149,75,0,294," $732,721.91 ", $-   ," $463,217.34 ","$269,505",292,2,0,0
4447,OH,Montgomery (County),DAYTON,45429,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45431,28,16,14,1,1,0,3," $10,278.18 ", $-   ," $2,396.00 ","$7,882",3,0,0,0
4447,OH,Montgomery (County),DAYTON,45459,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),DAYTON OH,45415,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),ENGLEWOOD,45322,8,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),HUBER HEIGHTS,45424,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),MIAMISBURG,45342,3,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),RIVERSIDE,45431,12,5,4,0,1,0,1," $2,106.00 ", $-   ," $2,106.00 ",$0 ,1,0,0,0
4447,OH,Montgomery (County),TROTWOOD,45416,4,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),TROTWOOD,45417,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Montgomery (County),TROTWOOD,45426,615,528,282,167,79,0,395," $968,847.28 ", $-   ," $646,709.41 ","$322,138",390,5,0,0
4447,OH,Montgomery (County),VANDALIA,45377,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Muskingum (County),HOPEWELL,43746,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4447,OH,Muskingum (County),ROSEVILLE,43777,5,4,3,1,0,0,1," $3,684.61 ", $-   ," $2,020.00 ","$1,665",1,0,0,0
